edition,route_path,methods,route_file,controller,controller_import,controller_file
CE,/api/auth/google/callback,GET,server/src/app/api/auth/google/callback/route.ts,,,
CE,/api/auth/microsoft/callback,GET,server/src/app/api/auth/microsoft/callback/route.ts,,,
CE,/api/auth/session,GET,server/src/app/api/auth/session/route.ts,,,
CE,/api/auth/validate-api-key,POST,server/src/app/api/auth/validate-api-key/route.ts,,,
CE,/api/auth/validate-token,POST,server/src/app/api/auth/validate-token/route.ts,,,
CE,/api/auth/{nextauth},GET POST,server/src/app/api/auth/[...nextauth]/route.ts,,,
CE,/api/billing/licence-count,GET POST,server/src/app/api/billing/licence-count/route.ts,,,
CE,/api/chat/stream/title,POST,server/src/app/api/chat/stream/title/route.ts,,,
CE,/api/chat/stream/{slug},GET POST,server/src/app/api/chat/stream/[...slug]/route.ts,,,
CE,/api/documents/download/{fileId},GET,server/src/app/api/documents/download/[fileId]/route.ts,,,
CE,/api/documents/view/{fileId},GET,server/src/app/api/documents/view/[fileId]/route.ts,,,
CE,/api/documents/{documentId}/download,GET,server/src/app/api/documents/[documentId]/download/route.ts,,,
CE,/api/email/oauth/initiate,POST,server/src/app/api/email/oauth/initiate/route.ts,,,
CE,/api/email/refresh-watch,POST,server/src/app/api/email/refresh-watch/route.ts,,,
CE,/api/email/webhooks/google,OPTIONS POST,server/src/app/api/email/webhooks/google/route.ts,,,
CE,/api/email/webhooks/microsoft,GET OPTIONS POST,server/src/app/api/email/webhooks/microsoft/route.ts,,,
CE,/api/email/webhooks/test,POST,server/src/app/api/email/webhooks/test/route.ts,,,
CE,/api/ext/{extensionId}/{path},DELETE GET PATCH POST PUT,server/src/app/api/ext/[extensionId]/[...path]/route.ts,AbortController,,
CE,/api/extensions/softwareone/agreements,GET POST,server/src/app/api/extensions/softwareone/agreements/route.ts,,,
CE,/api/extensions/softwareone/agreements/{id},GET,server/src/app/api/extensions/softwareone/agreements/[id]/route.ts,,,
CE,/api/extensions/softwareone/statements,GET POST,server/src/app/api/extensions/softwareone/statements/route.ts,,,
CE,/api/extensions/softwareone/statements/{id},GET,server/src/app/api/extensions/softwareone/statements/[id]/route.ts,,,
CE,/api/extensions/softwareone/statements/{id}/charges,GET,server/src/app/api/extensions/softwareone/statements/[id]/charges/route.ts,,,
CE,/api/extensions/softwareone/sync,POST,server/src/app/api/extensions/softwareone/sync/route.ts,,,
CE,/api/extensions/{extensionId}/agreements,GET,server/src/app/api/extensions/[extensionId]/agreements/route.ts,,,
CE,/api/extensions/{extensionId}/agreements/{id},GET,server/src/app/api/extensions/[extensionId]/agreements/[id]/route.ts,,,
CE,/api/extensions/{extensionId}/statements,GET,server/src/app/api/extensions/[extensionId]/statements/route.ts,,,
CE,/api/extensions/{extensionId}/statements/{id},GET,server/src/app/api/extensions/[extensionId]/statements/[id]/route.ts,,,
CE,/api/extensions/{extensionId}/statements/{id}/charges,GET,server/src/app/api/extensions/[extensionId]/statements/[id]/charges/route.ts,,,
